name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,score
Rob Holding,ARSENAL,M'BROUGHvARSENAL,0,86%,1,0,0,1,0%,40%,0,6,1,0,0,3,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-3,-1,0,1,2,6,12,14,12,8,8,9,10,3,3,5,5,3,1v2
Nacho Monreal,ARSENAL,M'BROUGHvARSENAL,1,89%,0,4,0,0,67%,25%,2,4,2,0,8,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,2,-1,-2,-2,-3,-2,2,3,4,0,-10,-13,-5,-8,2,3,6,13,1v2
Aaron Ramsey,ARSENAL,M'BROUGHvARSENAL,1,91%,2,1,0,1,14%,0%,2,2,2,0,1,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-5,1,4,-3,-3,4,9,6,-1,8,3,3,1,5,13,14,15,14,1v2
Mesut _zil,ARSENAL,M'BROUGHvARSENAL,1,93%,0,4,0,2,60%,0%,0,0,2,0,0,1,0,1,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,1,2,0,9,9,10,11,11,10,7,7,9,4,6,30,36,40,38,1v2
Alex Oxlade-Chamberlain,ARSENAL,M'BROUGHvARSENAL,2,88%,0,9,0,6,40%,67%,0,5,1,1,9,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-19,-20,-18,-11,-13,-7,-13,-19,-21,-18,-17,-17,-8,-7,-7,-2,1,9,1v2
Granit Xhaka,ARSENAL,M'BROUGHvARSENAL,1,90%,1,0,0,1,50%,50%,1,1,2,0,0,1,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-8,-2,-1,0,-2,0,1,13,10,4,5,16,19,21,22,23,26,32,1v2
Alexis Snchez,ARSENAL,M'BROUGHvARSENAL,2,70%,1,1,1,3,20%,0%,2,0,3,0,0,2,0,1,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,4,4,6,7,7,15,8,8,40,42,42,44,53,44,66,65,67,56,1v2
Olivier Giroud,ARSENAL,M'BROUGHvARSENAL,3,76%,1,0,0,0,0%,55%,0,1,2,0,0,2,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,1,0,-2,-2,1,1,2,8,7,7,11,10,11,16,15,15,16,15,13,10,1v2
Emiliano Martinez,ARSENAL,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2
Kieran Gibbs,ARSENAL,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2
Hctor Beller_n,ARSENAL,M'BROUGHvARSENAL,0,67%,1,0,0,0,0%,0%,0,0,0,0,2,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1v2
Alex Iwobi,ARSENAL,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2
Francis Coquelin,ARSENAL,M'BROUGHvARSENAL,0,100%,0,0,0,0,50%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,1v2
Mohamed Elneny,ARSENAL,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2
Theo Walcott,ARSENAL,M'BROUGHvARSENAL,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,17.04.2017,Riverside Stadium,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v2
David de Gea,MANUTD,MANUTDvCHELSEA,0,58%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,16.04.2017,Old Trafford,English Premier League,1,1,0,1,2,2,4,3,4,6,6,7,9,10,10,16,17,18,19,21,20,2v0
