name,team,match_id,shots,passing,chances,crossing,set_piece,take_ons,tackles,aerial_duels,interceptions,clearance,fouls,cards,throw_ins,blocks,gk,goal,own_goal,date,stadium,league,did_play,did_start,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,score
Sam Vokes,BURNLEY,BURNLEYvCHELSEA,0,100%,0,0,0,1,0%,0%,0,1,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-12,1v1
Thibaut Courtois,CHELSEA,BURNLEYvCHELSEA,0,85%,0,0,0,0,0%,0%,0,0,0,0,0,0,3,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,1,9,9,12,-7,-6,-6,5,6,17,17,17,17,22,23,24,24,30,1v1
Marcos Alonso,CHELSEA,BURNLEYvCHELSEA,1,87%,0,8,0,0,50%,100%,2,2,0,0,8,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,0,-2,-1,-1,-1,0,1,-10,-12,-14,-12,-6,-6,-2,-2,8,9,15,1v1
Gary Cahill,CHELSEA,BURNLEYvCHELSEA,0,92%,0,0,0,1,67%,60%,1,5,1,0,1,1,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,1,2,5,7,-3,0,5,5,5,3,4,5,5,5,6,9,10,16,1v1
Csar Azpilicueta,CHELSEA,BURNLEYvCHELSEA,2,87%,0,3,0,0,67%,25%,2,3,2,0,4,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,2,4,4,8,13,13,16,17,15,15,17,18,22,20,24,22,24,34,1v1
David Luiz,CHELSEA,BURNLEYvCHELSEA,1,80%,0,0,0,0,67%,0%,8,4,1,1,1,1,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,2,4,3,11,6,4,6,5,13,20,24,22,23,24,13,16,18,20,1v1
N'Golo Kant,CHELSEA,BURNLEYvCHELSEA,0,91%,1,1,0,0,100%,33%,1,3,1,0,0,2,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,2,1,1,3,2,3,7,9,11,10,12,14,20,22,23,19,26,25,1v1
Eden Hazard,CHELSEA,BURNLEYvCHELSEA,2,79%,2,1,0,10,0%,0%,2,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,7,11,21,22,20,20,24,26,31,31,32,40,37,45,57,57,58,57,1v1
Victor Moses,CHELSEA,BURNLEYvCHELSEA,2,74%,1,4,0,2,0%,0%,1,1,1,0,5,1,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,4,5,3,6,3,5,0,10,16,14,14,21,19,18,18,18,18,17,1v1
Nemanja Matic,CHELSEA,BURNLEYvCHELSEA,0,83%,1,0,0,0,0%,50%,0,2,1,0,0,2,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,0,-1,0,-1,-5,-4,0,-1,2,0,-1,-1,-2,-3,-3,-3,-3,-3,1v1
Pedro,CHELSEA,BURNLEYvCHELSEA,2,86%,2,2,0,3,0%,0%,0,1,2,0,0,0,0,1,0,12.02.2017,Turf Moor,English Premier League,1,1,0,3,35,33,34,36,31,34,37,37,33,34,36,39,39,43,49,43,44,1v1
Diego Costa,CHELSEA,BURNLEYvCHELSEA,2,89%,1,0,0,3,0%,43%,0,1,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,1,0,5,11,15,8,8,9,10,11,16,18,31,35,37,34,35,35,37,38,1v1
Asmir Begovic,CHELSEA,BURNLEYvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v1
Kurt Zouma,CHELSEA,BURNLEYvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v1
Nathan Ak,CHELSEA,BURNLEYvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v1
Cesc F_bregas,CHELSEA,BURNLEYvCHELSEA,1,69%,1,1,0,1,50%,50%,1,0,2,1,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-6,-2,-10,1v1
Willian,CHELSEA,BURNLEYvCHELSEA,0,67%,0,1,0,4,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,1v1
Nathaniel Chalobah,CHELSEA,BURNLEYvCHELSEA,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1v1
Michy Batshuayi,CHELSEA,BURNLEYvCHELSEA,0,100%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,12.02.2017,Turf Moor,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1v1
Simon Mignolet,LIVERPOOL,LIVERPOOLvSPURS,0,28%,0,0,0,0,0%,0%,0,0,0,0,0,0,3,0,0,11.02.2017,Anfield,English Premier League,1,1,0,1,3,3,4,6,13,12,21,22,22,23,23,27,33,33,33,34,33,2v0
Nathaniel Clyne,LIVERPOOL,LIVERPOOLvSPURS,1,67%,1,0,0,1,50%,50%,0,1,0,0,10,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,6,-7,-1,-4,-6,-6,-5,1,4,5,7,8,6,10,11,12,11,10,2v0
James Milner,LIVERPOOL,LIVERPOOLvSPURS,2,71%,1,5,0,0,33%,25%,0,2,2,1,13,2,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,0,14,16,14,17,16,11,12,15,16,16,9,13,1,12,12,24,18,2v0
Joel Matip,LIVERPOOL,LIVERPOOLvSPURS,1,80%,1,0,0,0,67%,100%,2,5,1,1,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,5,8,12,10,15,18,23,23,25,24,26,18,19,19,27,28,30,29,2v0
Georginio Wijnaldum,LIVERPOOL,LIVERPOOLvSPURS,1,89%,1,1,0,2,75%,100%,0,0,1,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,1,1,2,27,27,26,28,27,29,22,23,22,22,20,20,22,22,16,2v0
Philippe Coutinho,LIVERPOOL,LIVERPOOLvSPURS,3,76%,3,9,0,1,0%,0%,0,0,2,0,0,3,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,0,0,-1,-1,-1,0,4,8,12,12,5,2,-6,-5,-8,-8,-8,-8,2v0
Jordan Henderson,LIVERPOOL,LIVERPOOLvSPURS,0,70%,0,1,0,0,0%,25%,4,2,1,1,0,6,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,0,1,-3,-3,-2,-5,-7,-4,-3,-7,-29,-30,-29,-21,-21,-20,-17,-24,2v0
Sadio Man,LIVERPOOL,LIVERPOOLvSPURS,4,78%,1,0,0,4,25%,33%,0,0,1,0,0,0,0,2,0,11.02.2017,Anfield,English Premier League,1,1,0,-4,-2,-2,66,80,79,71,70,69,67,63,61,57,55,56,56,57,57,2v0
Adam Lallana,LIVERPOOL,LIVERPOOLvSPURS,2,73%,1,4,0,0,13%,67%,0,0,3,0,0,4,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,2,3,-4,2,3,3,3,0,-1,1,-6,-6,-6,-10,-10,-8,-11,-14,2v0
Lucas Leiva,LIVERPOOL,LIVERPOOLvSPURS,1,63%,0,0,0,0,50%,67%,5,7,0,0,0,1,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,3,12,16,19,20,23,23,22,25,24,29,32,30,30,28,34,35,35,2v0
Roberto Firmino,LIVERPOOL,LIVERPOOLvSPURS,2,82%,1,2,0,5,33%,40%,0,0,0,0,0,4,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,1,1,-4,0,-4,4,6,7,10,14,11,9,6,4,5,12,15,14,2v0
Loris Karius,LIVERPOOL,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Ragnar Klavan,LIVERPOOL,LIVERPOOLvSPURS,0,50%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Alberto Moreno,LIVERPOOL,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Trent Alexander-Arnold,LIVERPOOL,LIVERPOOLvSPURS,0,100%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Emre Can,LIVERPOOL,LIVERPOOLvSPURS,0,63%,0,0,0,0,0%,0%,0,0,1,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-7,-7,2v0
Daniel Sturridge,LIVERPOOL,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Divock Origi,LIVERPOOL,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Hugo Lloris,SPURS,LIVERPOOLvSPURS,0,72%,0,0,0,0,0%,0%,0,0,0,0,0,0,8,0,0,11.02.2017,Anfield,English Premier League,1,1,0,4,10,10,-21,0,0,6,15,13,14,15,19,18,19,18,18,18,-5,2v0
Kyle Walker,SPURS,LIVERPOOLvSPURS,0,61%,1,3,0,1,57%,33%,2,7,2,0,12,2,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,3,2,-2,-18,-33,-30,-31,-30,-29,-31,-30,-30,-29,-27,-26,-23,-25,-25,2v0
Toby Alderweireld,SPURS,LIVERPOOLvSPURS,2,75%,1,0,0,2,75%,100%,0,4,1,1,0,2,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,0,1,6,-6,-5,-7,-7,-3,-3,-1,0,2,2,13,16,16,2,1,2v0
Ben Davies,SPURS,LIVERPOOLvSPURS,0,59%,2,4,0,0,33%,71%,1,4,0,0,5,3,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-3,-1,-1,-15,-12,3,3,3,9,9,4,4,6,3,5,3,3,-1,2v0
Son Heung-Min,SPURS,LIVERPOOLvSPURS,2,57%,1,1,0,2,33%,0%,1,0,0,1,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-4,-1,-1,3,1,-14,-12,-7,-6,-10,-12,-18,-15,-11,-15,-18,-18,-18,2v0
Victor Wanyama,SPURS,LIVERPOOLvSPURS,0,73%,0,0,0,3,0%,100%,3,3,1,0,0,1,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-1,3,1,-2,4,1,4,3,11,11,8,6,15,15,20,21,21,17,2v0
Eric Dier,SPURS,LIVERPOOLvSPURS,0,82%,0,0,0,0,25%,33%,1,5,1,1,0,1,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,2,7,9,-24,-25,-28,-27,-23,-24,-25,-24,-26,-23,-24,-25,-36,-35,-37,2v0
Mousa Dembl,SPURS,LIVERPOOLvSPURS,0,80%,0,0,0,4,25%,50%,2,5,2,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-2,1,6,7,6,7,7,12,11,14,22,21,18,17,17,9,9,9,2v0
Dele Alli,SPURS,LIVERPOOLvSPURS,1,57%,0,1,0,4,50%,0%,1,1,3,0,0,3,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-3,-4,-3,-6,-5,-8,-9,-15,-16,-17,-6,-8,-12,-15,-17,-17,-17,-20,2v0
Christian Eriksen,SPURS,LIVERPOOLvSPURS,2,64%,0,1,0,1,0%,0%,1,2,1,0,1,2,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,-2,-1,-9,-8,-8,-2,-3,-4,-5,-9,-10,-10,-9,-9,-9,-9,-9,-9,2v0
Harry Kane,SPURS,LIVERPOOLvSPURS,0,68%,0,3,0,1,0%,60%,0,4,1,1,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,1,0,0,-2,-2,-2,-3,-5,-5,-4,-1,1,6,7,6,-4,-6,-6,-9,-11,2v0
Michel Vorm,SPURS,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Kieran Trippier,SPURS,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Kevin Wimmer,SPURS,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Georges-Kvin Nkoudou,SPURS,LIVERPOOLvSPURS,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Moussa Sissoko,SPURS,LIVERPOOLvSPURS,0,56%,0,0,0,0,100%,0%,0,1,0,0,0,2,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,2v0
Harry Winks,SPURS,LIVERPOOLvSPURS,0,85%,0,0,0,1,0%,0%,1,1,1,1,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-12,-8,-6,-5,2v0
Vincent Janssen,SPURS,LIVERPOOLvSPURS,0,100%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Anfield,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2v0
David de Gea,MANUTD,MANUTDvWATFORD,0,50%,0,0,0,0,0%,0%,0,0,0,0,0,0,4,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,3,6,8,9,18,21,24,26,28,28,39,41,43,46,50,50,52,56,2v0
Eric Bailly,MANUTD,MANUTDvWATFORD,0,85%,0,0,0,2,71%,100%,1,9,0,0,0,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,14,18,20,21,31,34,38,42,47,50,52,53,39,42,47,49,50,51,2v0
Chris Smalling,MANUTD,MANUTDvWATFORD,0,93%,0,0,0,0,67%,45%,1,10,2,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,0,3,8,16,16,18,22,24,32,36,39,40,43,44,48,53,52,43,2v0
Daley Blind,MANUTD,MANUTDvWATFORD,0,86%,1,2,0,1,50%,0%,3,3,0,0,3,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,2,4,2,4,7,19,21,26,25,24,24,29,32,32,34,39,32,35,2v0
Antonio Valencia,MANUTD,MANUTDvWATFORD,0,83%,2,1,0,4,50%,50%,1,5,1,1,9,6,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,5,9,10,12,14,25,23,28,28,27,33,31,33,38,38,42,44,36,2v0
Paul Pogba,MANUTD,MANUTDvWATFORD,3,88%,1,0,0,2,60%,100%,1,4,1,0,0,2,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,7,9,14,33,44,54,54,53,55,56,57,61,54,58,61,61,68,64,2v0
Juan Mata,MANUTD,MANUTDvWATFORD,1,91%,4,3,0,0,50%,0%,3,0,0,0,0,3,0,1,0,11.02.2017,Old Trafford,English Premier League,1,1,0,4,6,7,11,15,19,61,60,65,65,52,52,49,49,49,49,49,49,2v0
Ander Herrera,MANUTD,MANUTDvWATFORD,1,89%,2,0,0,1,78%,0%,2,2,1,0,0,3,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,5,8,8,1,5,4,10,13,20,25,28,31,30,35,36,36,46,52,2v0
Henrikh Mkhitaryan,MANUTD,MANUTDvWATFORD,4,87%,4,4,0,9,20%,100%,0,1,2,0,0,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-2,-6,3,4,2,1,20,27,37,34,32,25,33,38,39,50,53,53,2v0
Zlatan Ibrahimovic,MANUTD,MANUTDvWATFORD,8,61%,6,1,0,5,0%,57%,0,0,2,0,1,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-3,-5,1,1,10,5,10,9,10,13,12,40,46,51,46,49,44,42,2v0
Anthony Martial,MANUTD,MANUTDvWATFORD,4,77%,1,2,0,5,100%,0%,0,1,1,0,0,0,0,1,0,11.02.2017,Old Trafford,English Premier League,1,1,0,0,0,11,11,10,11,30,29,46,35,35,65,68,70,63,63,63,73,2v0
Sergio Romero,MANUTD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Matteo Darmian,MANUTD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Jesse Lingard,MANUTD,MANUTDvWATFORD,1,100%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2v0
Michael Carrick,MANUTD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Marouane Fellaini,MANUTD,MANUTDvWATFORD,0,94%,0,0,0,0,0%,100%,0,0,0,0,0,2,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,2v0
Wayne Rooney,MANUTD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Marcus Rashford,MANUTD,MANUTDvWATFORD,1,86%,0,0,0,2,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2v0
Heurelho Gomes,WATFORD,MANUTDvWATFORD,0,54%,0,0,0,0,0%,0%,0,0,0,0,0,0,9,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-3,5,11,19,20,28,11,12,24,22,23,4,4,7,6,8,15,16,2v0
Miguel Britos,WATFORD,MANUTDvWATFORD,0,58%,0,0,0,0,75%,0%,1,2,1,0,2,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,5,2,1,5,2,-1,-6,-6,-2,-1,-1,-1,-1,-1,-1,-1,-1,-2,2v0
Younes Kaboul,WATFORD,MANUTDvWATFORD,0,75%,1,0,0,0,0%,50%,6,4,1,0,0,3,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-1,4,10,10,20,29,21,20,23,24,24,15,14,13,15,17,19,17,2v0
Sebastian Pr_dl,WATFORD,MANUTDvWATFORD,0,83%,2,0,0,0,67%,20%,2,3,0,0,0,3,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,4,7,10,13,14,5,1,1,3,0,3,2,10,10,13,14,15,20,2v0
Craig Cathcart,WATFORD,MANUTDvWATFORD,0,89%,0,0,0,0,60%,0%,3,0,0,0,3,2,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,0,3,6,7,9,10,3,3,6,7,8,2,4,8,11,12,5,3,2v0
Jos Holebas,WATFORD,MANUTDvWATFORD,1,75%,0,2,0,1,0%,0%,1,4,1,0,3,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-2,-3,-1,-5,-7,-10,-7,-9,-8,-6,-6,-11,-22,-19,-19,-20,-31,-28,2v0
Tom Cleverley,WATFORD,MANUTDvWATFORD,0,83%,1,0,0,1,57%,0%,2,1,0,0,0,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,1,4,0,-1,-3,-3,-4,-4,-6,0,8,2,6,5,5,6,4,8,2v0
Etienne Capoue,WATFORD,MANUTDvWATFORD,0,83%,0,2,0,2,0%,0%,3,0,2,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,0,1,4,4,-3,-5,-7,-7,-16,-14,-13,-8,-7,-4,-4,-4,-6,-7,2v0
Troy Deeney,WATFORD,MANUTDvWATFORD,2,69%,0,0,0,3,0%,36%,0,0,1,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-7,-11,-11,-17,-23,-23,-26,-38,-44,-43,-44,-46,-38,-36,-28,-28,-28,-26,2v0
Mauro Zrate,WATFORD,MANUTDvWATFORD,3,79%,1,2,0,4,0%,50%,0,0,1,0,0,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-6,-4,2,-6,1,-7,-13,-13,-17,-19,-3,-9,-10,-11,-14,-14,-14,-14,2v0
M'Baye Niang,WATFORD,MANUTDvWATFORD,1,85%,1,3,0,8,29%,0%,1,0,5,0,0,1,0,0,0,11.02.2017,Old Trafford,English Premier League,1,1,0,-8,-11,-12,-12,-21,-28,-30,-35,-40,-44,-40,-44,-44,-32,-29,-27,-29,-31,2v0
Giedrius Arlauskis,WATFORD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Adrian Mariappa,WATFORD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Daryl Janmaat,WATFORD,MANUTDvWATFORD,2,83%,0,1,0,2,0%,0%,1,0,0,0,1,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,-2,2,2,-3,-9,-12,-17,-11,-7,2v0
Valon Behrami,WATFORD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Abdoulaye Doucour,WATFORD,MANUTDvWATFORD,0,0%,0,0,0,0,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2v0
Isaac Success,WATFORD,MANUTDvWATFORD,0,67%,0,0,0,1,0%,0%,0,0,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2v0
Stefano Okaka,WATFORD,MANUTDvWATFORD,0,75%,1,0,0,2,0%,0%,0,2,0,0,0,0,0,0,0,11.02.2017,Old Trafford,English Premier League,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,2v0
V_ctor Valds,M'BROUGH,M'BROUGHvEVERTON,0,38%,0,0,0,0,0%,0%,0,0,0,0,0,0,3,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,8,12,18,20,23,33,37,50,54,58,59,63,66,72,76,78,82,89,0v0
Fabio,M'BROUGH,M'BROUGHvEVERTON,0,51%,1,3,0,0,71%,75%,2,1,2,0,10,3,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,-1,-2,4,6,14,19,26,28,28,35,38,37,36,39,39,43,44,51,0v0
Bernardo,M'BROUGH,M'BROUGHvEVERTON,0,92%,0,0,0,0,0%,100%,2,9,0,0,0,1,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,2,10,12,16,25,28,36,41,49,52,58,61,64,68,74,79,85,90,0v0
Ben Gibson,M'BROUGH,M'BROUGHvEVERTON,2,88%,0,0,0,0,100%,40%,1,5,0,0,0,0,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,2,6,7,11,15,22,26,29,29,44,47,49,60,63,64,66,68,71,0v0
Calum Chambers,M'BROUGH,M'BROUGHvEVERTON,0,76%,1,3,0,0,50%,50%,1,0,0,0,7,2,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,1,6,0,4,5,5,9,15,17,22,25,24,29,15,14,16,18,24,0v0
Adam Clayton,M'BROUGH,M'BROUGHvEVERTON,0,86%,0,1,0,0,33%,100%,2,0,2,1,0,0,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,0,3,-4,0,2,-1,-11,-10,-9,-7,-5,1,-2,-3,-1,-1,-1,-2,0v0
Marten de Roon,M'BROUGH,M'BROUGHvEVERTON,0,73%,1,3,0,1,50%,100%,0,0,1,0,0,1,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,0,0,-6,-9,-10,-9,-11,-11,-11,-7,-4,-5,-6,-5,-4,-6,-3,-4,0v0
Adam Forshaw,M'BROUGH,M'BROUGHvEVERTON,0,78%,2,5,0,0,40%,0%,0,0,2,0,0,1,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,0,2,0,1,-2,-1,0,-1,-5,8,5,7,7,7,7,7,7,2,0v0
Adama Traor,M'BROUGH,M'BROUGHvEVERTON,1,76%,1,1,0,9,67%,0%,0,0,1,0,1,0,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,8,6,5,2,6,7,7,5,5,7,8,9,9,11,7,11,12,13,0v0
lvaro Negredo,M'BROUGH,M'BROUGHvEVERTON,0,69%,0,1,0,3,0%,44%,0,0,0,0,0,1,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,-2,-1,-1,-5,-8,-10,-10,-10,-10,-9,-8,-3,-2,-2,-4,-3,-3,-2,0v0
Cristhian Stuani,M'BROUGH,M'BROUGHvEVERTON,3,62%,0,0,0,2,33%,40%,1,0,1,0,0,2,0,0,0,11.02.2017,Riverside Stadium,English Premier League,1,1,0,-3,-3,4,1,1,2,-9,-11,-13,-15,-11,-14,-13,-16,-16,-16,-16,-15,0v0
